DATA,LOJA,BANDEIRA,MODALIDADE,MODULO,VALOR\_BRUTO,TAXA\_PERC,TARIFA\_ADQ,DATA\_PREVISTA,LIQUIDO\_PREVISTO
12/01/2026,Filial 1,Elo,PIX,POS,"R$ 423,93","0,30%","R$ 2,42",01/03/2026,"R$ 420,24"
27/02/2026,Matriz,Elo,Crédito,POS,"R$ 55,94","2,00%","R$ 1,96",22/02/2026,"R$ 52,86"
28/01/2026,Matriz,Mastercard,Voucher,Online,"R$ 180,40","7,00%","R$ 5,21",19/01/2026,"R$ 162,56"
17/01/2026,Filial 1,Amex,PIX,POS,"R$ 356,27","0,30%","R$ 8,74",09/01/2026,"R$ 346,46"
13/02/2026,Matriz,Elo,Crédito,Online,"R$ 428,62","2,00%","R$ 9,13",21/01/2026,"R$ 410,92"
29/01/2026,Matriz,PIX,Voucher,POS,"R$ 616,93","7,00%","R$ 8,04",25/01/2026,"R$ 565,70"
09/01/2026,Filial 1,Amex,Crédito,POS,"R$ 538,61","2,00%","R$ 3,50",04/02/2026,"R$ 524,34"
25/02/2026,Matriz,Amex,Crédito,POS,"R$ 365,27","2,00%","R$ 3,61",01/02/2026,"R$ 354,35"
19/02/2026,Filial 1,Amex,Voucher,TEF,"R$ 222,96","7,00%","R$ 2,88",11/01/2026,"R$ 204,47"
10/01/2026,Matriz,Elo,Crédito,POS,"R$ 631,77","2,00%","R$ 11,36",16/02/2026,"R$ 607,77"
20/01/2026,Matriz,Visa,Crédito,Online,"R$ 885,27","2,00%","R$ 1,70",13/01/2026,"R$ 865,86"
21/02/2026,Filial 1,PIX,Débito,POS,"R$ 228,54","0,75%","R$ 4,75",25/01/2026,"R$ 222,08"
18/01/2026,Matriz,PIX,Débito,POS,"R$ 206,17","0,75%","R$ 4,95",24/01/2026,"R$ 199,67"
26/02/2026,Matriz,Visa,PIX,POS,"R$ 189,62","0,30%","R$ 21,42",20/02/2026,"R$ 167,63"
14/01/2026,Filial 1,Elo,PIX,TEF,"R$ 103,44","0,30%","R$ 5,03",01/02/2026,"R$ 98,10"
23/02/2026,Filial 1,Elo,Voucher,POS,"R$ 740,19","7,00%","R$ 1,05",09/01/2026,"R$ 687,33"
25/02/2026,Filial 1,Mastercard,Débito,TEF,"R$ 651,21","0,75%","R$ 11,06",02/02/2026,"R$ 635,27"
04/01/2026,Matriz,Amex,Débito,Online,"R$ 930,35","0,75%","R$ 10,44",02/01/2026,"R$ 912,93"
13/01/2026,Filial 1,Amex,Voucher,TEF,"R$ 231,30","7,00%","R$ 20,27",11/01/2026,"R$ 194,84"
02/01/2026,Filial 1,Elo,Débito,Online,"R$ 890,02","0,75%","R$ 1,19",13/02/2026,"R$ 882,15"
27/02/2026,Matriz,PIX,Voucher,TEF,"R$ 240,91","7,00%","R$ 4,41",04/03/2026,"R$ 219,64"
18/01/2026,Matriz,PIX,PIX,TEF,"R$ 87,29","0,30%","R$ 6,37",19/02/2026,"R$ 80,66"
10/02/2026,Matriz,Visa,PIX,Online,"R$ 546,32","0,30%","R$ 1,18",07/01/2026,"R$ 543,50"
26/02/2026,Filial 1,Elo,Débito,POS,"R$ 684,62","0,75%","R$ 11,11",26/02/2026,"R$ 668,38"
26/02/2026,Filial 1,Mastercard,PIX,POS,"R$ 542,34","0,30%","R$ 1,10",13/02/2026,"R$ 539,61"
10/01/2026,Filial 1,Elo,Débito,Online,"R$ 761,01","0,75%","R$ 0,96",07/01/2026,"R$ 754,34"
22/02/2026,Matriz,Elo,Voucher,TEF,"R$ 653,57","7,00%","R$ 0,74",24/02/2026,"R$ 607,08"
06/02/2026,Filial 1,Visa,PIX,TEF,"R$ 233,27","0,30%","R$ 20,13",02/02/2026,"R$ 212,44"
19/02/2026,Matriz,Amex,Voucher,Online,"R$ 830,07","7,00%","R$ 7,09",05/02/2026,"R$ 764,88"
03/02/2026,Matriz,Elo,Débito,Online,"R$ 343,23","0,75%","R$ 7,38",23/01/2026,"R$ 333,28"
08/02/2026,Matriz,Mastercard,Crédito,POS,"R$ 150,56","2,00%","R$ 9,79",19/01/2026,"R$ 137,76"
12/02/2026,Filial 1,Mastercard,PIX,POS,"R$ 178,16","0,30%","R$ 3,20",31/01/2026,"R$ 174,43"
16/02/2026,Filial 1,Amex,Voucher,TEF,"R$ 189,43","7,00%","R$ 4,66",03/03/2026,"R$ 171,51"
26/01/2026,Filial 1,Amex,Débito,TEF,"R$ 899,24","0,75%","R$ 8,24",17/01/2026,"R$ 884,26"
26/02/2026,Matriz,Amex,Crédito,Online,"R$ 653,02","2,00%","R$ 2,72",23/01/2026,"R$ 637,24"
10/02/2026,Filial 1,Visa,Voucher,TEF,"R$ 22,56","7,00%","R$ 10,26",22/02/2026,"R$ 10,72"
11/01/2026,Matriz,Visa,PIX,TEF,"R$ 260,92","0,30%","R$ 15,59",24/01/2026,"R$ 244,55"
22/02/2026,Filial 1,Elo,Crédito,TEF,"R$ 483,16","2,00%","R$ 7,26",01/03/2026,"R$ 466,24"
02/01/2026,Matriz,PIX,Crédito,TEF,"R$ 362,51","2,00%","R$ 9,56",22/01/2026,"R$ 345,70"
13/02/2026,Matriz,Elo,Débito,TEF,"R$ 296,87","0,75%","R$ 15,75",23/02/2026,"R$ 278,89"
10/01/2026,Filial 1,PIX,Débito,POS,"R$ 537,86","0,75%","R$ 2,41",04/01/2026,"R$ 531,42"
25/01/2026,Matriz,PIX,Crédito,Online,"R$ 494,97","2,00%","R$ 2,95",15/01/2026,"R$ 482,12"
01/02/2026,Matriz,Amex,PIX,Online,"R$ 149,25","0,30%","R$ 19,68",16/01/2026,"R$ 129,12"
23/01/2026,Matriz,Mastercard,Voucher,TEF,"R$ 222,23","7,00%","R$ 8,20",27/02/2026,"R$ 198,47"
22/01/2026,Matriz,Mastercard,Débito,TEF,"R$ 780,68","0,75%","R$ 2,20",10/01/2026,"R$ 772,62"
05/02/2026,Matriz,Mastercard,Débito,Online,"R$ 330,28","0,75%","R$ 8,82",21/01/2026,"R$ 318,98"
30/01/2026,Matriz,Mastercard,PIX,TEF,"R$ 450,76","0,30%","R$ 9,47",09/01/2026,"R$ 439,94"
13/02/2026,Matriz,Elo,Débito,POS,"R$ 23,31","0,75%","R$ 11,60",19/02/2026,"R$ 11,54"
23/02/2026,Filial 1,Mastercard,Voucher,POS,"R$ 582,16","7,00%","R$ 11,38",06/02/2026,"R$ 530,03"
14/02/2026,Filial 1,Amex,PIX,POS,"R$ 163,54","0,30%","R$ 6,18",27/02/2026,"R$ 156,87"
22/01/2026,Filial 1,Visa,Débito,POS,"R$ 729,90","0,75%","R$ 1,92",01/01/2026,"R$ 722,51"
27/02/2026,Filial 1,Amex,Voucher,Online,"R$ 967,41","7,00%","R$ 6,79",28/02/2026,"R$ 892,90"
26/02/2026,Matriz,Elo,Voucher,Online,"R$ 540,22","7,00%","R$ 2,48",18/01/2026,"R$ 499,92"
20/02/2026,Matriz,Amex,Voucher,POS,"R$ 713,46","7,00%","R$ 2,02",14/02/2026,"R$ 661,50"
07/02/2026,Filial 1,PIX,Voucher,POS,"R$ 974,04","7,00%","R$ 10,65",25/02/2026,"R$ 895,21"
19/02/2026,Matriz,Elo,Débito,Online,"R$ 24,17","0,75%","R$ 11,94",28/02/2026,"R$ 12,05"
26/01/2026,Matriz,Elo,PIX,TEF,"R$ 496,28","0,30%","R$ 5,66",24/02/2026,"R$ 489,13"
16/02/2026,Filial 1,Amex,Voucher,Online,"R$ 994,60","7,00%","R$ 1,91",09/01/2026,"R$ 923,07"
01/02/2026,Filial 1,Mastercard,PIX,TEF,"R$ 220,27","0,30%","R$ 5,79",25/02/2026,"R$ 213,82"
18/02/2026,Matriz,Elo,Débito,Online,"R$ 741,89","0,75%","R$ 5,46",03/02/2026,"R$ 730,87"
26/02/2026,Matriz,PIX,Crédito,TEF,"R$ 450,10","2,00%","R$ 9,38",25/01/2026,"R$ 431,72"
01/02/2026,Matriz,Mastercard,Débito,TEF,"R$ 872,63","0,75%","R$ 5,97",03/03/2026,"R$ 860,12"
18/02/2026,Filial 1,Mastercard,Voucher,TEF,"R$ 260,58","7,00%","R$ 14,08",05/02/2026,"R$ 228,26"
23/01/2026,Matriz,Elo,PIX,POS,"R$ 598,83","0,30%","R$ 1,98",03/01/2026,"R$ 595,05"
18/01/2026,Filial 1,PIX,Crédito,POS,"R$ 454,22","2,00%","R$ 6,98",18/01/2026,"R$ 438,16"
18/02/2026,Matriz,PIX,PIX,TEF,"R$ 851,94","0,30%","R$ 11,45",03/02/2026,"R$ 837,93"
12/01/2026,Matriz,PIX,Voucher,Online,"R$ 54,83","7,00%","R$ 7,74",07/02/2026,"R$ 43,25"
04/01/2026,Filial 1,PIX,Crédito,TEF,"R$ 365,19","2,00%","R$ 18,42",27/01/2026,"R$ 339,47"
11/02/2026,Filial 1,Elo,Voucher,TEF,"R$ 684,35","7,00%","R$ 17,21",21/02/2026,"R$ 619,24"
08/01/2026,Filial 1,Mastercard,Débito,POS,"R$ 493,08","0,75%","R$ 12,93",02/03/2026,"R$ 476,45"
05/02/2026,Matriz,Elo,Débito,POS,"R$ 28,77","0,75%","R$ 2,43",21/02/2026,"R$ 26,12"
16/02/2026,Matriz,PIX,PIX,POS,"R$ 59,93","0,30%","R$ 3,73",07/01/2026,"R$ 56,02"
09/02/2026,Matriz,Amex,PIX,POS,"R$ 195,29","0,30%","R$ 21,69",25/01/2026,"R$ 173,01"
09/01/2026,Filial 1,Amex,Crédito,TEF,"R$ 474,51","2,00%","R$ 0,73",16/01/2026,"R$ 464,29"
26/01/2026,Matriz,Elo,Débito,TEF,"R$ 619,00","0,75%","R$ 10,43",19/02/2026,"R$ 603,93"
17/02/2026,Filial 1,Mastercard,Voucher,POS,"R$ 858,76","7,00%","R$ 10,46",18/02/2026,"R$ 788,19"
01/01/2026,Filial 1,Elo,Débito,TEF,"R$ 425,30","0,75%","R$ 11,69",22/01/2026,"R$ 410,42"
03/01/2026,Filial 1,Visa,PIX,TEF,"R$ 687,65","0,30%","R$ 3,42",18/01/2026,"R$ 682,17"
13/01/2026,Matriz,Mastercard,Crédito,TEF,"R$ 886,72","2,00%","R$ 14,21",02/03/2026,"R$ 854,78"
16/02/2026,Matriz,PIX,Débito,Online,"R$ 54,47","0,75%","R$ 1,50",31/01/2026,"R$ 52,56"
12/01/2026,Filial 1,Visa,Crédito,POS,"R$ 676,17","2,00%","R$ 7,35",17/02/2026,"R$ 655,30"
05/01/2026,Filial 1,Visa,PIX,TEF,"R$ 456,46","0,30%","R$ 5,53",26/01/2026,"R$ 449,56"
21/02/2026,Filial 1,PIX,Débito,POS,"R$ 567,66","0,75%","R$ 7,78",28/02/2026,"R$ 555,62"
27/02/2026,Matriz,PIX,Débito,TEF,"R$ 338,31","0,75%","R$ 6,30",04/02/2026,"R$ 329,47"
07/03/2026,Matriz,Mastercard,Crédito,Online,"R$ 528,62","2,00%","R$ 4,57",11/04/2026,"R$ 513,48"
26/03/2026,Filial 1,Visa,PIX,Online,"R$ 416,37","0,30%","R$ 9,54",24/04/2026,"R$ 405,58"
07/03/2026,Filial 1,Mastercard,Débito,POS,"R$ 547,46","0,75%","R$ 14,64",25/04/2026,"R$ 528,71"
27/03/2026,Matriz,PIX,PIX,Online,"R$ 364,53","0,30%","R$ 24,84",29/04/2026,"R$ 338,60"
13/03/2026,Filial 1,Amex,Débito,POS,"R$ 387,62","0,75%","R$ 14,42",10/04/2026,"R$ 370,29"
27/03/2026,Matriz,Amex,Débito,POS,"R$ 484,56","0,75%","R$ 10,16",07/04/2026,"R$ 470,77"
26/03/2026,Matriz,PIX,Crédito,TEF,"R$ 877,33","2,00%","R$ 21,30",22/04/2026,"R$ 838,48"
04/03/2026,Filial 1,Amex,PIX,POS,"R$ 118,87","0,30%","R$ 17,09",25/04/2026,"R$ 101,42"
26/03/2026,Filial 1,Elo,Crédito,POS,"R$ 319,15","2,00%","R$ 6,64",18/04/2026,"R$ 306,13"
05/03/2026,Matriz,Amex,Voucher,TEF,"R$ 517,64","7,00%","R$ 18,81",08/04/2026,"R$ 462,60"
27/03/2026,Filial 1,Mastercard,PIX,Online,"R$ 251,85","0,30%","R$ 24,67",03/04/2026,"R$ 226,42"
10/03/2026,Filial 1,Visa,Voucher,TEF,"R$ 310,87","7,00%","R$ 16,12",29/04/2026,"R$ 272,99"
04/03/2026,Filial 1,Visa,PIX,TEF,"R$ 792,53","0,30%","R$ 15,07",19/04/2026,"R$ 775,08"
02/03/2026,Matriz,Mastercard,Voucher,Online,"R$ 287,65","7,00%","R$ 1,18",28/04/2026,"R$ 266,33"
13/03/2026,Matriz,PIX,PIX,POS,"R$ 424,98","0,30%","R$ 1,90",08/04/2026,"R$ 421,81"
05/03/2026,Matriz,Elo,PIX,Online,"R$ 129,94","0,30%","R$ 12,11",02/04/2026,"R$ 117,44"
23/03/2026,Matriz,Amex,Voucher,TEF,"R$ 726,88","7,00%","R$ 18,20",23/04/2026,"R$ 657,80"
24/03/2026,Matriz,Elo,PIX,POS,"R$ 682,21","0,30%","R$ 5,84",29/04/2026,"R$ 674,32"
23/03/2026,Matriz,Amex,PIX,POS,"R$ 948,42","0,30%","R$ 24,57",23/04/2026,"R$ 921,00"
05/03/2026,Filial 1,Amex,PIX,POS,"R$ 121,73","0,30%","R$ 16,71",04/04/2026,"R$ 104,65"
06/03/2026,Matriz,Mastercard,PIX,TEF,"R$ 68,71","0,30%","R$ 11,47",30/04/2026,"R$ 57,03"
25/03/2026,Matriz,PIX,PIX,TEF,"R$ 915,50","0,30%","R$ 1,45",29/04/2026,"R$ 911,30"
04/03/2026,Filial 1,Elo,Voucher,POS,"R$ 22,99","7,00%","R$ 2,33",15/04/2026,"R$ 19,05"
26/03/2026,Filial 1,Elo,Voucher,POS,"R$ 979,97","7,00%","R$ 0,32",17/04/2026,"R$ 911,05"
23/03/2026,Filial 1,PIX,Débito,Online,"R$ 434,15","0,75%","R$ 10,33",11/04/2026,"R$ 420,56"
27/03/2026,Filial 1,Mastercard,Voucher,Online,"R$ 247,75","7,00%","R$ 16,57",14/04/2026,"R$ 213,84"
26/03/2026,Matriz,Visa,Voucher,TEF,"R$ 315,92","7,00%","R$ 18,37",01/04/2026,"R$ 275,44"
27/03/2026,Matriz,PIX,Crédito,TEF,"R$ 42,59","2,00%","R$ 9,30",28/04/2026,"R$ 32,44"
16/03/2026,Filial 1,Amex,Voucher,TEF,"R$ 602,38","7,00%","R$ 1,16",02/04/2026,"R$ 559,05"
13/03/2026,Matriz,Mastercard,Crédito,POS,"R$ 318,97","2,00%","R$ 6,76",12/04/2026,"R$ 305,83"
17/03/2026,Filial 1,Mastercard,PIX,POS,"R$ 318,88","0,30%","R$ 14,35",07/04/2026,"R$ 303,57"
27/03/2026,Filial 1,Visa,Crédito,POS,"R$ 36,32","2,00%","R$ 3,46",19/04/2026,"R$ 32,13"
03/03/2026,Filial 1,PIX,PIX,TEF,"R$ 724,06","0,30%","R$ 13,87",12/04/2026,"R$ 708,02"
05/03/2026,Filial 1,PIX,Voucher,Online,"R$ 490,06","7,00%","R$ 5,75",10/04/2026,"R$ 450,01"
24/03/2026,Matriz,PIX,PIX,Online,"R$ 579,62","0,30%","R$ 14,16",15/04/2026,"R$ 563,72"
22/03/2026,Matriz,Visa,PIX,POS,"R$ 312,07","0,30%","R$ 11,32",07/04/2026,"R$ 299,81"
15/03/2026,Matriz,Amex,Débito,Online,"R$ 646,14","0,75%","R$ 20,64",30/04/2026,"R$ 620,65"
29/03/2026,Filial 1,PIX,Voucher,POS,"R$ 612,26","7,00%","R$ 22,83",21/04/2026,"R$ 546,57"
12/03/2026,Filial 1,Elo,PIX,POS,"R$ 927,17","0,30%","R$ 6,82",20/04/2026,"R$ 917,57"
18/03/2026,Filial 1,Amex,Débito,POS,"R$ 460,39","0,75%","R$ 5,85",19/04/2026,"R$ 451,09"
15/03/2026,Matriz,Amex,PIX,Online,"R$ 771,94","0,30%","R$ 22,11",13/04/2026,"R$ 747,51"
08/03/2026,Filial 1,Elo,Crédito,POS,"R$ 152,89","2,00%","R$ 5,65",21/04/2026,"R$ 144,18"
10/03/2026,Matriz,Elo,Débito,Online,"R$ 698,36","0,75%","R$ 15,19",07/04/2026,"R$ 677,93"
17/03/2026,Filial 1,Elo,Voucher,Online,"R$ 904,05","7,00%","R$ 10,53",19/04/2026,"R$ 830,24"
28/03/2026,Matriz,Elo,Voucher,Online,"R$ 262,72","7,00%","R$ 13,11",11/04/2026,"R$ 231,22"
02/03/2026,Matriz,Visa,PIX,TEF,"R$ 673,38","0,30%","R$ 18,49",16/04/2026,"R$ 652,87"
22/03/2026,Matriz,Mastercard,PIX,TEF,"R$ 360,55","0,30%","R$ 8,43",25/04/2026,"R$ 351,04"
24/03/2026,Matriz,Mastercard,PIX,Online,"R$ 162,27","0,30%","R$ 1,22",15/04/2026,"R$ 160,56"
24/03/2026,Matriz,PIX,PIX,Online,"R$ 504,94","0,30%","R$ 1,66",18/04/2026,"R$ 501,77"
13/03/2026,Filial 1,Mastercard,Voucher,Online,"R$ 92,68","7,00%","R$ 17,03",10/04/2026,"R$ 69,16"
16/03/2026,Matriz,Visa,PIX,TEF,"R$ 203,54","0,30%","R$ 22,36",28/04/2026,"R$ 180,57"
04/03/2026,Matriz,Mastercard,Crédito,POS,"R$ 608,52","2,00%","R$ 1,03",06/04/2026,"R$ 595,32"
02/03/2026,Filial 1,Visa,Voucher,TEF,"R$ 234,13","7,00%","R$ 10,80",19/04/2026,"R$ 206,94"
24/03/2026,Filial 1,PIX,Voucher,TEF,"R$ 86,91","7,00%","R$ 7,69",29/04/2026,"R$ 73,14"
27/03/2026,Filial 1,Visa,Crédito,TEF,"R$ 930,34","2,00%","R$ 8,07",24/04/2026,"R$ 903,66"
16/03/2026,Filial 1,PIX,PIX,Online,"R$ 141,51","0,30%","R$ 21,16",22/04/2026,"R$ 119,93"
26/03/2026,Filial 1,Elo,Voucher,POS,"R$ 634,68","7,00%","R$ 24,40",05/04/2026,"R$ 565,85"
05/03/2026,Matriz,Elo,Crédito,Online,"R$ 703,31","2,00%","R$ 10,01",06/04/2026,"R$ 679,23"
13/03/2026,Matriz,Visa,PIX,POS,"R$ 334,86","0,30%","R$ 10,62",06/04/2026,"R$ 323,24"
11/03/2026,Matriz,Mastercard,PIX,POS,"R$ 896,16","0,30%","R$ 7,37",25/04/2026,"R$ 886,10"
11/03/2026,Matriz,Visa,Débito,POS,"R$ 371,54","0,75%","R$ 19,32",05/04/2026,"R$ 349,43"
04/03/2026,Filial 1,Amex,Débito,POS,"R$ 74,45","0,75%","R$ 22,38",16/04/2026,"R$ 51,51"
15/03/2026,Matriz,Mastercard,Crédito,POS,"R$ 301,29","2,00%","R$ 10,42",16/04/2026,"R$ 284,84"
02/03/2026,Matriz,Amex,Voucher,Online,"R$ 39,23","7,00%","R$ 7,80",09/04/2026,"R$ 28,68"
18/03/2026,Filial 1,Visa,PIX,Online,"R$ 357,99","0,30%","R$ 7,32",12/04/2026,"R$ 349,60"
06/03/2026,Matriz,Elo,PIX,TEF,"R$ 535,78","0,30%","R$ 22,33",02/04/2026,"R$ 511,84"
16/03/2026,Filial 1,Mastercard,Voucher,Online,"R$ 987,97","7,00%","R$ 16,86",06/04/2026,"R$ 901,95"
03/03/2026,Matriz,Visa,PIX,POS,"R$ 211,57","0,30%","R$ 8,99",01/04/2026,"R$ 201,95"
28/03/2026,Matriz,Mastercard,PIX,TEF,"R$ 690,67","0,30%","R$ 16,55",14/04/2026,"R$ 672,05"
18/03/2026,Filial 1,Elo,Débito,TEF,"R$ 917,33","0,75%","R$ 14,15",18/04/2026,"R$ 896,30"
05/03/2026,Matriz,Elo,Voucher,Online,"R$ 885,80","7,00%","R$ 9,18",12/04/2026,"R$ 814,61"
18/03/2026,Filial 1,Elo,Crédito,POS,"R$ 206,32","2,00%","R$ 18,37",05/04/2026,"R$ 183,82"
28/03/2026,Matriz,Visa,Voucher,POS,"R$ 150,77","7,00%","R$ 23,62",16/04/2026,"R$ 116,60"
10/03/2026,Filial 1,Elo,Voucher,POS,"R$ 567,83","7,00%","R$ 17,44",26/04/2026,"R$ 510,64"
02/03/2026,Matriz,Amex,PIX,POS,"R$ 898,86","0,30%","R$ 1,64",29/04/2026,"R$ 894,52"
26/03/2026,Matriz,Elo,Voucher,POS,"R$ 970,29","7,00%","R$ 2,82",03/04/2026,"R$ 899,55"
22/03/2026,Filial 1,Mastercard,Débito,TEF,"R$ 997,82","0,75%","R$ 3,64",18/04/2026,"R$ 986,70"
12/03/2026,Matriz,Mastercard,Débito,TEF,"R$ 326,88","0,75%","R$ 21,97",24/04/2026,"R$ 302,46"
15/03/2026,Filial 1,PIX,PIX,POS,"R$ 942,32","0,30%","R$ 15,53",13/04/2026,"R$ 923,96"
31/03/2026,Matriz,PIX,Crédito,Online,"R$ 882,89","2,00%","R$ 23,81",21/04/2026,"R$ 841,42"
19/03/2026,Matriz,Mastercard,Voucher,TEF,"R$ 249,86","7,00%","R$ 21,70",07/04/2026,"R$ 210,67"
18/03/2026,Filial 1,Visa,Voucher,POS,"R$ 758,58","7,00%","R$ 14,95",28/04/2026,"R$ 690,53"
17/03/2026,Matriz,Mastercard,Débito,Online,"R$ 570,20","0,75%","R$ 22,45",27/04/2026,"R$ 543,47"
01/03/2026,Matriz,Elo,Voucher,TEF,"R$ 54,49","7,00%","R$ 16,26",01/04/2026,"R$ 34,42"
01/03/2026,Matriz,Amex,Voucher,POS,"R$ 371,42","7,00%","R$ 20,49",10/04/2026,"R$ 324,93"
20/03/2026,Matriz,Visa,Voucher,Online,"R$ 187,18","7,00%","R$ 18,50",13/04/2026,"R$ 155,58"
18/03/2026,Matriz,PIX,Voucher,TEF,"R$ 543,25","7,00%","R$ 4,17",02/04/2026,"R$ 501,05"
28/03/2026,Filial 1,Mastercard,Crédito,Online,"R$ 963,99","2,00%","R$ 14,25",17/04/2026,"R$ 930,46"
21/03/2026,Matriz,PIX,PIX,POS,"R$ 268,09","0,30%","R$ 15,25",08/04/2026,"R$ 252,04"
11/03/2026,Filial 1,PIX,PIX,Online,"R$ 273,11","0,30%","R$ 5,99",09/04/2026,"R$ 266,30"
16/03/2026,Matriz,Mastercard,PIX,TEF,"R$ 514,42","0,30%","R$ 5,74",26/04/2026,"R$ 507,14"
08/03/2026,Matriz,Elo,Crédito,TEF,"R$ 922,32","2,00%","R$ 8,14",18/04/2026,"R$ 895,73"
27/03/2026,Filial 1,Elo,Voucher,POS,"R$ 994,22","7,00%","R$ 13,28",26/04/2026,"R$ 911,34"
21/03/2026,Filial 1,Visa,Voucher,POS,"R$ 385,16","7,00%","R$ 22,55",04/04/2026,"R$ 335,65"
25/03/2026,Matriz,PIX,Voucher,Online,"R$ 137,07","7,00%","R$ 14,69",29/04/2026,"R$ 112,79"
04/03/2026,Filial 1,Visa,PIX,Online,"R$ 806,48","0,30%","R$ 23,70",26/04/2026,"R$ 780,36"
09/03/2026,Filial 1,Elo,Crédito,Online,"R$ 437,34","2,00%","R$ 6,46",13/04/2026,"R$ 422,13"
22/03/2026,Filial 1,Mastercard,PIX,Online,"R$ 881,92","0,30%","R$ 15,87",18/04/2026,"R$ 863,40"
15/03/2026,Filial 1,Mastercard,PIX,Online,"R$ 258,67","0,30%","R$ 5,59",18/04/2026,"R$ 252,30"
30/03/2026,Filial 1,Mastercard,Crédito,Online,"R$ 306,11","2,00%","R$ 20,29",04/04/2026,"R$ 279,70"
10/03/2026,Filial 1,PIX,PIX,Online,"R$ 991,03","0,30%","R$ 16,68",28/04/2026,"R$ 971,38"
16/03/2026,Filial 1,Visa,Crédito,POS,"R$ 23,33","2,00%","R$ 15,12",24/04/2026,"R$ 7,74"
09/03/2026,Matriz,Mastercard,PIX,TEF,"R$ 119,84","0,30%","R$ 20,42",24/04/2026,"R$ 99,06"
22/03/2026,Filial 1,Visa,PIX,Online,"R$ 662,09","0,30%","R$ 11,41",05/04/2026,"R$ 648,69"
30/03/2026,Filial 1,Amex,Crédito,Online,"R$ 24,72","2,00%","R$ 5,13",29/04/2026,"R$ 19,10"
26/03/2026,Matriz,Mastercard,Crédito,POS,"R$ 170,52","2,00%","R$ 1,63",24/04/2026,"R$ 165,48"
31/03/2026,Matriz,Visa,Crédito,Online,"R$ 586,64","2,00%","R$ 11,10",21/04/2026,"R$ 563,81"
06/03/2026,Matriz,Amex,PIX,POS,"R$ 484,11","0,30%","R$ 16,89",26/04/2026,"R$ 465,77"
13/03/2026,Filial 1,Mastercard,Débito,POS,"R$ 527,10","0,75%","R$ 12,89",17/04/2026,"R$ 510,26"
02/03/2026,Filial 1,Elo,Débito,POS,"R$ 569,79","0,75%","R$ 21,60",03/04/2026,"R$ 543,92"
14/03/2026,Filial 1,Mastercard,Débito,POS,"R$ 921,03","0,75%","R$ 2,61",23/04/2026,"R$ 911,51"
18/03/2026,Filial 1,Amex,PIX,TEF,"R$ 181,76","0,30%","R$ 12,60",12/04/2026,"R$ 168,61"
30/03/2026,Filial 1,PIX,Crédito,Online,"R$ 346,84","2,00%","R$ 6,03",01/05/2026,"R$ 333,87"
15/03/2026,Matriz,Visa,Crédito,POS,"R$ 793,79","2,00%","R$ 22,00",06/04/2026,"R$ 755,91"
27/03/2026,Matriz,Visa,PIX,Online,"R$ 602,15","0,30%","R$ 15,31",23/04/2026,"R$ 585,03"
23/03/2026,Filial 1,Mastercard,PIX,Online,"R$ 101,08","0,30%","R$ 24,57",13/04/2026,"R$ 76,21"
01/03/2026,Filial 1,Amex,Voucher,POS,"R$ 872,02","7,00%","R$ 5,44",13/04/2026,"R$ 805,54"
16/03/2026,Matriz,PIX,Voucher,POS,"R$ 550,84","7,00%","R$ 22,51",25/04/2026,"R$ 489,77"
11/03/2026,Filial 1,PIX,Débito,POS,"R$ 138,68","0,75%","R$ 17,26",17/04/2026,"R$ 120,38"
07/03/2026,Filial 1,PIX,Voucher,Online,"R$ 476,14","7,00%","R$ 20,80",07/04/2026,"R$ 422,01"
11/03/2026,Filial 1,Amex,Voucher,POS,"R$ 997,16","7,00%","R$ 12,06",20/04/2026,"R$ 915,30"
22/03/2026,Matriz,Elo,Crédito,TEF,"R$ 630,46","2,00%","R$ 17,10",26/04/2026,"R$ 600,75"
21/03/2026,Matriz,Mastercard,Débito,POS,"R$ 999,64","0,75%","R$ 8,05",07/04/2026,"R$ 984,09"
12/03/2026,Filial 1,Amex,Crédito,Online,"R$ 662,53","2,00%","R$ 10,22",06/04/2026,"R$ 639,06"
16/03/2026,Filial 1,Mastercard,Crédito,TEF,"R$ 884,22","2,00%","R$ 19,95",22/04/2026,"R$ 846,59"
30/03/2026,Matriz,Visa,Crédito,TEF,"R$ 100,99","2,00%","R$ 5,47",20/04/2026,"R$ 93,50"
04/03/2026,Filial 1,Visa,Crédito,TEF,"R$ 88,96","2,00%","R$ 17,04",03/04/2026,"R$ 70,14"
19/03/2026,Filial 1,Elo,Crédito,POS,"R$ 317,34","2,00%","R$ 14,48",11/04/2026,"R$ 296,51"
16/03/2026,Matriz,Elo,Crédito,Online,"R$ 671,40","2,00%","R$ 15,76",29/04/2026,"R$ 642,21"
18/03/2026,Matriz,Amex,Débito,TEF,"R$ 962,44","0,75%","R$ 10,69",30/04/2026,"R$ 944,53"
12/03/2026,Filial 1,Visa,Débito,TEF,"R$ 176,42","0,75%","R$ 5,20",17/04/2026,"R$ 169,90"
15/03/2026,Filial 1,Mastercard,Débito,POS,"R$ 487,64","0,75%","R$ 9,55",01/04/2026,"R$ 474,43"
01/03/2026,Matriz,Amex,Débito,TEF,"R$ 321,11","0,75%","R$ 19,36",14/04/2026,"R$ 299,34"
22/03/2026,Filial 1,Visa,Débito,Online,"R$ 25,41","0,75%","R$ 20,64",17/04/2026,"R$ 4,58"
