DATA;LOJA;BANDEIRA;MODALIDADE;MODULO;VALOR_BRUTO;TAXA_PERCENTUAL;VALOR_TAXA;DATA_PREVISTA;VALOR_LIQUIDO
04/01/2026;Filial 1;PIX;Crédito;TEF;365,19;2,00%;18,42;27/01/2026;339,47
11/02/2026;Filial 1;Elo;Voucher;TEF;684,35;7,00%;17,21;21/02/2026;619,24
08/01/2026;Filial 1;Mastercard;Débito;POS;493,08;0,75%;12,93;02/03/2026;476,45
05/02/2026;Matriz;Elo;Débito;POS;28,77;0,75%;2,43;21/02/2026;26,12
16/02/2026;Matriz;PIX;PIX;POS;59,93;0,30%;3,73;07/01/2026;56,02
09/02/2026;Matriz;Amex;PIX;POS;195,29;0,30%;21,69;25/01/2026;173,01
09/01/2026;Filial 1;Amex;Crédito;TEF;474,51;2,00%;0,73;16/01/2026;464,29
26/01/2026;Matriz;Elo;Débito;TEF;619,00;0,75%;10,43;19/02/2026;603,93
17/02/2026;Filial 1;Mastercard;Voucher;POS;858,76;7,00%;10,46;18/02/2026;788,19
01/01/2026;Filial 1;Elo;Débito;TEF;425,30;0,75%;11,69;22/01/2026;410,42
03/01/2026;Filial 1;Visa;PIX;TEF;687,65;0,30%;3,42;18/01/2026;682,17
13/01/2026;Matriz;Mastercard;Crédito;TEF;886,72;2,00%;14,21;02/03/2026;854,78
16/02/2026;Matriz;PIX;Débito;Online;54,47;0,75%;1,50;31/01/2026;52,56
12/01/2026;Filial 1;Visa;Crédito;POS;676,17;2,00%;7,35;17/02/2026;655,30
05/01/2026;Filial 1;Visa;PIX;TEF;456,46;0,30%;5,53;26/01/2026;449,56
21/02/2026;Filial 1;PIX;Débito;POS;567,66;0,75%;7,78;28/02/2026;555,62
27/02/2026;Matriz;PIX;Débito;TEF;338,31;0,75%;6,30;04/02/2026;329,47
07/03/2026;Matriz;Mastercard;Crédito;Online;528,62;2,00%;4,57;11/04/2026;513,48
26/03/2026;Filial 1;Visa;PIX;Online;416,37;0,30%;9,54;24/04/2026;405,58
07/03/2026;Filial 1;Mastercard;Débito;POS;547,46;0,75%;14,64;25/04/2026;528,71
27/03/2026;Matriz;PIX;PIX;Online;364,53;0,30%;24,84;29/04/2026;338,60
13/03/2026;Filial 1;Amex;Débito;POS;387,62;0,75%;14,42;10/04/2026;370,29
27/03/2026;Matriz;Amex;Débito;POS;484,56;0,75%;10,16;07/04/2026;470,77
26/03/2026;Matriz;PIX;Crédito;TEF;877,33;2,00%;21,30;22/04/2026;838,48
04/03/2026;Filial 1;Amex;PIX;POS;118,87;0,30%;17,09;25/04/2026;101,42
26/03/2026;Filial 1;Elo;Crédito;POS;319,15;2,00%;6,64;18/04/2026;306,13
05/03/2026;Matriz;Amex;Voucher;TEF;517,64;7,00%;18,81;08/04/2026;462,60
27/03/2026;Filial 1;Mastercard;PIX;Online;251,85;0,30%;24,67;03/04/2026;226,42
10/03/2026;Filial 1;Visa;Voucher;TEF;310,87;7,00%;16,12;29/04/2026;272,99
04/03/2026;Filial 1;Visa;PIX;TEF;792,53;0,30%;15,07;19/04/2026;775,08
02/03/2026;Matriz;Mastercard;Voucher;Online;287,65;7,00%;1,18;28/04/2026;266,33
13/03/2026;Matriz;PIX;PIX;POS;424,98;0,30%;1,90;08/04/2026;421,81
05/03/2026;Matriz;Elo;PIX;Online;129,94;0,30%;12,11;02/04/2026;117,44
23/03/2026;Matriz;Amex;Voucher;TEF;726,88;7,00%;18,20;23/04/2026;657,80
24/03/2026;Matriz;Elo;PIX;POS;682,21;0,30%;5,84;29/04/2026;674,32
23/03/2026;Matriz;Amex;PIX;POS;948,42;0,30%;24,57;23/04/2026;921,00
05/03/2026;Filial 1;Amex;PIX;POS;121,73;0,30%;16,71;04/04/2026;104,65
06/03/2026;Matriz;Mastercard;PIX;TEF;68,71;0,30%;11,47;30/04/2026;57,03
25/03/2026;Matriz;PIX;PIX;TEF;915,50;0,30%;1,45;29/04/2026;911,30
04/03/2026;Filial 1;Elo;Voucher;POS;22,99;7,00%;2,33;15/04/2026;19,05
26/03/2026;Filial 1;Elo;Voucher;POS;979,97;7,00%;0,32;17/04/2026;911,05
23/03/2026;Filial 1;PIX;Débito;Online;434,15;0,75%;10,33;11/04/2026;420,56
27/03/2026;Filial 1;Mastercard;Voucher;Online;247,75;7,00%;16,57;14/04/2026;213,84
26/03/2026;Matriz;Visa;Voucher;TEF;315,92;7,00%;18,37;01/04/2026;275,44
27/03/2026;Matriz;PIX;Crédito;TEF;42,59;2,00%;9,30;28/04/2026;32,44
16/03/2026;Filial 1;Amex;Voucher;TEF;602,38;7,00%;1,16;02/04/2026;559,05
13/03/2026;Matriz;Mastercard;Crédito;POS;318,97;2,00%;6,76;12/04/2026;305,83
17/03/2026;Filial 1;Mastercard;PIX;POS;318,88;0,30%;14,35;07/04/2026;303,57
27/03/2026;Filial 1;Visa;Crédito;POS;36,32;2,00%;3,46;19/04/2026;32,13
03/03/2026;Filial 1;PIX;PIX;TEF;724,06;0,30%;13,87;12/04/2026;708,02
05/03/2026;Filial 1;PIX;Voucher;Online;490,06;7,00%;5,75;10/04/2026;450,01
24/03/2026;Matriz;PIX;PIX;Online;579,62;0,30%;14,16;15/04/2026;563,72
22/03/2026;Matriz;Visa;PIX;POS;312,07;0,30%;11,32;07/04/2026;299,81
15/03/2026;Matriz;Amex;Débito;Online;646,14;0,75%;20,64;30/04/2026;620,65
29/03/2026;Filial 1;PIX;Voucher;POS;612,26;7,00%;22,83;21/04/2026;546,57
12/03/2026;Filial 1;Elo;PIX;POS;927,17;0,30%;6,82;20/04/2026;917,57
18/03/2026;Filial 1;Amex;Débito;POS;460,39;0,75%;5,85;19/04/2026;451,09
15/03/2026;Matriz;Amex;PIX;Online;771,94;0,30%;22,11;13/04/2026;747,51
08/03/2026;Filial 1;Elo;Crédito;POS;152,89;2,00%;5,65;21/04/2026;144,18
10/03/2026;Matriz;Elo;Débito;Online;698,36;0,75%;15,19;07/04/2026;677,93
17/03/2026;Filial 1;Elo;Voucher;Online;904,05;7,00%;10,53;19/04/2026;830,24
28/03/2026;Matriz;Elo;Voucher;Online;262,72;7,00%;13,11;11/04/2026;231,22
02/03/2026;Matriz;Visa;PIX;TEF;673,38;0,30%;18,49;16/04/2026;652,87
22/03/2026;Matriz;Mastercard;PIX;TEF;360,55;0,30%;8,43;25/04/2026;351,04
24/03/2026;Matriz;Mastercard;PIX;Online;162,27;0,30%;1,22;15/04/2026;160,56
24/03/2026;Matriz;PIX;PIX;Online;504,94;0,30%;1,66;18/04/2026;501,77
13/03/2026;Filial 1;Mastercard;Voucher;Online;92,68;7,00%;17,03;10/04/2026;69,16
16/03/2026;Matriz;Visa;PIX;TEF;203,54;0,30%;22,36;28/04/2026;180,57
04/03/2026;Matriz;Mastercard;Crédito;POS;608,52;2,00%;1,03;06/04/2026;595,32
02/03/2026;Filial 1;Visa;Voucher;TEF;234,13;7,00%;10,80;19/04/2026;206,94
24/03/2026;Filial 1;PIX;Voucher;TEF;86,91;7,00%;7,69;29/04/2026;73,14
27/03/2026;Filial 1;Visa;Crédito;TEF;930,34;2,00%;8,07;24/04/2026;903,66
16/03/2026;Filial 1;PIX;PIX;Online;141,51;0,30%;21,16;22/04/2026;119,93
26/03/2026;Filial 1;Elo;Voucher;POS;634,68;7,00%;24,40;05/04/2026;565,85
05/03/2026;Matriz;Elo;Crédito;Online;703,31;2,00%;10,01;06/04/2026;679,23
13/03/2026;Matriz;Visa;PIX;POS;334,86;0,30%;10,62;06/04/2026;323,24
11/03/2026;Matriz;Mastercard;PIX;POS;896,16;0,30%;7,37;25/04/2026;886,10
11/03/2026;Matriz;Visa;Débito;POS;371,54;0,75%;19,32;05/04/2026;349,43
04/03/2026;Filial 1;Amex;Débito;POS;74,45;0,75%;22,38;16/04/2026;51,51
15/03/2026;Matriz;Mastercard;Crédito;POS;301,29;2,00%;10,42;16/04/2026;284,84
02/03/2026;Matriz;Amex;Voucher;Online;39,23;7,00%;7,80;09/04/2026;28,68
18/03/2026;Filial 1;Visa;PIX;Online;357,99;0,30%;7,32;12/04/2026;349,60
06/03/2026;Matriz;Elo;PIX;TEF;535,78;0,30%;22,33;02/04/2026;511,84
16/03/2026;Filial 1;Mastercard;Voucher;Online;987,97;7,00%;16,86;06/04/2026;901,95
03/03/2026;Matriz;Visa;PIX;POS;211,57;0,30%;8,99;01/04/2026;201,95
28/03/2026;Matriz;Mastercard;PIX;TEF;690,67;0,30%;16,55;14/04/2026;672,05
18/03/2026;Filial 1;Elo;Débito;TEF;917,33;0,75%;14,15;18/04/2026;896,30
05/03/2026;Matriz;Elo;Voucher;Online;885,80;7,00%;9,18;12/04/2026;814,61
18/03/2026;Filial 1;Elo;Crédito;POS;206,32;2,00%;18,37;05/04/2026;183,82
28/03/2026;Matriz;Visa;Voucher;POS;150,77;7,00%;23,62;16/04/2026;116,60
10/03/2026;Filial 1;Elo;Voucher;POS;567,83;7,00%;17,44;26/04/2026;510,64
02/03/2026;Matriz;Amex;PIX;POS;898,86;0,30%;1,64;29/04/2026;894,52
26/03/2026;Matriz;Elo;Voucher;POS;970,29;7,00%;2,82;03/04/2026;899,55
22/03/2026;Filial 1;Mastercard;Débito;TEF;997,82;0,75%;3,64;18/04/2026;986,70
12/03/2026;Matriz;Mastercard;Débito;TEF;326,88;0,75%;21,97;24/04/2026;302,46
15/03/2026;Filial 1;PIX;PIX;POS;942,32;0,30%;15,53;13/04/2026;923,96
31/03/2026;Matriz;PIX;Crédito;Online;882,89;2,00%;23,81;21/04/2026;841,42
19/03/2026;Matriz;Mastercard;Voucher;TEF;249,86;7,00%;21,70;07/04/2026;210,67
18/03/2026;Filial 1;Visa;Voucher;POS;758,58;7,00%;14,95;28/04/2026;690,53
17/03/2026;Matriz;Mastercard;Débito;Online;570,20;0,75%;22,45;27/04/2026;543,47
01/03/2026;Matriz;Elo;Voucher;TEF;54,49;7,00%;16,26;01/04/2026;34,42
01/03/2026;Matriz;Amex;Voucher;POS;371,42;7,00%;20,49;10/04/2026;324,93
20/03/2026;Matriz;Visa;Voucher;Online;187,18;7,00%;18,50;13/04/2026;155,58
18/03/2026;Matriz;PIX;Voucher;TEF;543,25;7,00%;4,17;02/04/2026;501,05
28/03/2026;Filial 1;Mastercard;Crédito;Online;963,99;2,00%;14,25;17/04/2026;930,46
21/03/2026;Matriz;PIX;PIX;POS;268,09;0,30%;15,25;08/04/2026;252,04
11/03/2026;Filial 1;PIX;PIX;Online;273,11;0,30%;5,99;09/04/2026;266,30
16/03/2026;Matriz;Mastercard;PIX;TEF;514,42;0,30%;5,74;26/04/2026;507,14
08/03/2026;Matriz;Elo;Crédito;TEF;922,32;2,00%;8,14;18/04/2026;895,73
27/03/2026;Filial 1;Elo;Voucher;POS;994,22;7,00%;13,28;26/04/2026;911,34
21/03/2026;Filial 1;Visa;Voucher;POS;385,16;7,00%;22,55;04/04/2026;335,65
25/03/2026;Matriz;PIX;Voucher;Online;137,07;7,00%;14,69;29/04/2026;112,79
04/03/2026;Filial 1;Visa;PIX;Online;806,48;0,30%;23,70;26/04/2026;780,36
09/03/2026;Filial 1;Elo;Crédito;Online;437,34;2,00%;6,46;13/04/2026;422,13
22/03/2026;Filial 1;Mastercard;PIX;Online;881,92;0,30%;15,87;18/04/2026;863,40
15/03/2026;Filial 1;Mastercard;PIX;Online;258,67;0,30%;5,59;18/04/2026;252,30
30/03/2026;Filial 1;Mastercard;Crédito;Online;306,11;2,00%;20,29;04/04/2026;279,70
10/03/2026;Filial 1;PIX;PIX;Online;991,03;0,30%;16,68;28/04/2026;971,38
16/03/2026;Filial 1;Visa;Crédito;POS;23,33;2,00%;15,12;24/04/2026;7,74
09/03/2026;Matriz;Mastercard;PIX;TEF;119,84;0,30%;20,42;24/04/2026;99,06
22/03/2026;Filial 1;Visa;PIX;Online;662,09;0,30%;11,41;05/04/2026;648,69
30/03/2026;Filial 1;Amex;Crédito;Online;24,72;2,00%;5,13;29/04/2026;19,10
26/03/2026;Matriz;Mastercard;Crédito;POS;170,52;2,00%;1,63;24/04/2026;165,48
31/03/2026;Matriz;Visa;Crédito;Online;586,64;2,00%;11,10;21/04/2026;563,81
06/03/2026;Matriz;Amex;PIX;POS;484,11;0,30%;16,89;26/04/2026;465,77
13/03/2026;Filial 1;Mastercard;Débito;POS;527,10;0,75%;12,89;17/04/2026;510,26
02/03/2026;Filial 1;Elo;Débito;POS;569,79;0,75%;21,60;03/04/2026;543,92
14/03/2026;Filial 1;Mastercard;Débito;POS;921,03;0,75%;2,61;23/04/2026;911,51
18/03/2026;Filial 1;Amex;PIX;TEF;181,76;0,30%;12,60;12/04/2026;168,61
30/03/2026;Filial 1;PIX;Crédito;Online;346,84;2,00%;6,03;01/05/2026;333,87
15/03/2026;Matriz;Visa;Crédito;POS;793,79;2,00%;22,00;06/04/2026;755,91
27/03/2026;Matriz;Visa;PIX;Online;602,15;0,30%;15,31;23/04/2026;585,03
23/03/2026;Filial 1;Mastercard;PIX;Online;101,08;0,30%;24,57;13/04/2026;76,21
01/03/2026;Filial 1;Amex;Voucher;POS;872,02;7,00%;5,44;13/04/2026;805,54
16/03/2026;Matriz;PIX;Voucher;POS;550,84;7,00%;22,51;25/04/2026;489,77
11/03/2026;Filial 1;PIX;Débito;POS;138,68;0,75%;17,26;17/04/2026;120,38
07/03/2026;Filial 1;PIX;Voucher;Online;476,14;7,00%;20,80;07/04/2026;422,01
11/03/2026;Filial 1;Amex;Voucher;POS;997,16;7,00%;12,06;20/04/2026;915,30
22/03/2026;Matriz;Elo;Crédito;TEF;630,46;2,00%;17,10;26/04/2026;600,75
21/03/2026;Matriz;Mastercard;Débito;POS;999,64;0,75%;8,05;07/04/2026;984,09
12/03/2026;Filial 1;Amex;Crédito;Online;662,53;2,00%;10,22;06/04/2026;639,06
16/03/2026;Filial 1;Mastercard;Crédito;TEF;884,22;2,00%;19,95;22/04/2026;846,59
30/03/2026;Matriz;Visa;Crédito;TEF;100,99;2,00%;5,47;20/04/2026;93,50
04/03/2026;Filial 1;Visa;Crédito;TEF;88,96;2,00%;17,04;03/04/2026;70,14
19/03/2026;Filial 1;Elo;Crédito;POS;317,34;2,00%;14,48;11/04/2026;296,51
16/03/2026;Matriz;Elo;Crédito;Online;671,40;2,00%;15,76;29/04/2026;642,21
18/03/2026;Matriz;Amex;Débito;TEF;962,44;0,75%;10,69;30/04/2026;944,53
12/03/2026;Filial 1;Visa;Débito;TEF;176,42;0,75%;5,20;17/04/2026;169,90
15/03/2026;Filial 1;Mastercard;Débito;POS;487,64;0,75%;9,55;01/04/2026;474,43
01/03/2026;Matriz;Amex;Débito;TEF;321,11;0,75%;19,36;14/04/2026;299,34
22/03/2026;Filial 1;Visa;Débito;Online;25,41;0,75%;20,64;17/04/2026;4,58
05/03/2026;Matriz;PIX;PIX;Online;524,92;0,30%;15,99;05/04/2026;507,36
25/03/2026;Filial 1;Visa;PIX;POS;836,83;0,30%;15,46;19/04/2026;818,86
14/03/2026;Filial 1;Elo;Débito;POS;116,08;0,75%;1,55;18/04/2026;113,66
31/03/2026;Filial 1;Amex;Crédito;POS;504,18;2,00%;22,07;11/04/2026;472,03
01/03/2026;Filial 1;Elo;Crédito;Online;511,88;2,00%;1,84;24/04/2026;499,80
21/03/2026;Filial 1;Amex;Crédito;POS;375,98;2,00%;18,44;07/04/2026;350,02
30/03/2026;Filial 1;Amex;PIX;Online;569,76;0,30%;21,40;18/04/2026;546,65
17/03/2026;Filial 1;Elo;Voucher;POS;819,89;7,00%;2,39;01/05/2026;760,11
11/03/2026;Matriz;Mastercard;Crédito;POS;779,76;2,00%;9,32;06/04/2026;754,84
21/03/2026;Matriz;PIX;Crédito;TEF;404,61;2,00%;16,46;15/04/2026;380,06
10/03/2026;Matriz;PIX;Crédito;POS;765,13;2,00%;6,36;16/04/2026;743,47
23/03/2026;Matriz;Elo;Crédito;POS;526,94;2,00%;0,53;18/04/2026;515,87
24/03/2026;Matriz;Elo;PIX;TEF;558,40;0,30%;11,88;13/04/2026;544,84
05/03/2026;Filial 1;PIX;Crédito;POS;692,86;2,00%;9,85;12/04/2026;669,15
23/03/2026;Filial 1;PIX;PIX;Online;323,13;0,30%;5,44;09/04/2026;316,72
27/03/2026;Filial 1;Amex;Crédito;TEF;163,27;2,00%;19,52;14/04/2026;140,48
01/04/2026;Matriz;PIX;Débito;Online;863,99;0,75%;2,88;04/04/2026;854,63
01/04/2026;Filial 1;Visa;Crédito;POS;399,89;2,00%;10,89;16/04/2026;381,00
01/04/2026;Matriz;Elo;PIX;TEF;727,15;0,30%;8,13;08/04/2026;716,84
01/04/2026;Filial 1;Amex;Voucher;Online;160,53;7,00%;11,25;05/04/2026;138,04
01/04/2026;Matriz;Mastercard;Débito;POS;411,32;0,75%;2,53;02/04/2026;405,71
02/04/2026;Matriz;PIX;Débito;Online;591,66;0,75%;5,11;08/04/2026;582,11
02/04/2026;Filial 1;Visa;Crédito;POS;927,70;2,00%;17,05;16/04/2026;892,10
02/04/2026;Matriz;Elo;PIX;TEF;470,97;0,30%;6,57;01/05/2026;462,99
02/04/2026;Filial 1;Amex;Voucher;Online;415,27;7,00%;5,71;14/04/2026;380,49
02/04/2026;Matriz;Mastercard;Débito;POS;154,25;0,75%;15,33;13/04/2026;137,76
03/04/2026;Matriz;PIX;Débito;Online;934,58;0,75%;5,05;01/05/2026;922,52
03/04/2026;Filial 1;Visa;Crédito;POS;583,91;2,00%;2,23;23/04/2026;570,00
03/04/2026;Matriz;Elo;PIX;TEF;304,53;0,30%;3,64;22/04/2026;299,98
03/04/2026;Filial 1;Amex;Voucher;Online;844,08;7,00%;2,85;21/04/2026;782,14
03/04/2026;Matriz;Mastercard;Débito;POS;702,96;0,75%;7,67;15/04/2026;690,02
04/04/2026;Matriz;PIX;Débito;Online;245,61;0,75%;11,06;07/04/2026;232,71
04/04/2026;Filial 1;Visa;Crédito;POS;157,53;2,00%;2,13;27/04/2026;152,25
04/04/2026;Matriz;Elo;PIX;TEF;561,05;0,30%;11,32;16/04/2026;548,05
04/04/2026;Filial 1;Amex;Voucher;Online;261,15;7,00%;2,43;26/04/2026;240,44
04/04/2026;Matriz;Mastercard;Débito;POS;819,41;0,75%;8,68;18/04/2026;804,58
05/04/2026;Matriz;PIX;Débito;Online;11,11;0,75%;8,16;02/05/2026;2,87
05/04/2026;Filial 1;Visa;Crédito;POS;702,29;2,00%;0,41;21/04/2026;687,83
05/04/2026;Matriz;Elo;PIX;TEF;770,40;0,30%;3,40;29/04/2026;764,69
05/04/2026;Filial 1;Amex;Voucher;Online;657,87;7,00%;3,63;16/04/2026;608,19
05/04/2026;Matriz;Mastercard;Débito;POS;942,84;0,75%;11,81;12/04/2026;923,96
06/04/2026;Matriz;PIX;Débito;Online;409,11;0,75%;1,51;02/05/2026;404,53
06/04/2026;Filial 1;Visa;Crédito;POS;169,19;2,00%;17,37;18/04/2026;148,44
06/04/2026;Matriz;Elo;PIX;TEF;506,79;0,30%;2,76;12/04/2026;502,51
06/04/2026;Filial 1;Amex;Voucher;Online;893,97;7,00%;6,02;01/05/2026;825,37
06/04/2026;Matriz;Mastercard;Débito;POS;80,70;0,75%;0,82;26/04/2026;79,27
07/04/2026;Matriz;PIX;Débito;Online;290,16;0,75%;8,97;27/04/2026;279,01
07/04/2026;Filial 1;Visa;Crédito;POS;541,17;2,00%;2,28;02/05/2026;528,07
07/04/2026;Matriz;Elo;PIX;TEF;263,18;0,30%;13,76;25/04/2026;248,63
07/04/2026;Filial 1;Amex;Voucher;Online;544,37;7,00%;3,91;06/05/2026;502,35
07/04/2026;Matriz;Mastercard;Débito;POS;592,08;0,75%;3,22;09/04/2026;584,42
08/04/2026;Matriz;PIX;Débito;Online;654,99;0,75%;9,07;16/04/2026;641,01
08/04/2026;Filial 1;Visa;Crédito;POS;254,80;2,00%;0,59;05/05/2026;249,11
08/04/2026;Matriz;Elo;PIX;TEF;356,95;0,30%;2,16;15/04/2026;353,72
08/04/2026;Filial 1;Amex;Voucher;Online;849,28;7,00%;5,61;11/04/2026;784,22
08/04/2026;Matriz;Mastercard;Débito;POS;201,59;0,75%;2,91;13/04/2026;197,17
09/04/2026;Matriz;PIX;Débito;Online;699,11;0,75%;10,41;22/04/2026;683,46
09/04/2026;Filial 1;Visa;Crédito;POS;484,54;2,00%;11,78;13/04/2026;463,07
09/04/2026;Matriz;Elo;PIX;TEF;16,63;0,30%;4,62;23/04/2026;11,96
09/04/2026;Filial 1;Amex;Voucher;Online;818,85;7,00%;10,41;14/04/2026;751,12
09/04/2026;Matriz;Mastercard;Débito;POS;416,69;0,75%;20,93;10/04/2026;392,63
10/04/2026;Matriz;PIX;Débito;Online;297,59;0,75%;10,44;20/04/2026;284,92
10/04/2026;Filial 1;Visa;Crédito;POS;628,31;2,00%;11,40;17/04/2026;604,34
10/04/2026;Matriz;Elo;PIX;TEF;733,93;0,30%;10,22;22/04/2026;721,51
10/04/2026;Filial 1;Amex;Voucher;Online;883,09;7,00%;5,08;13/04/2026;816,19
10/04/2026;Matriz;Mastercard;Débito;POS;526,86;0,75%;5,22;26/04/2026;517,69
11/04/2026;Matriz;PIX;Débito;Online;574,72;0,75%;6,71;22/04/2026;563,70
11/04/2026;Filial 1;Visa;Crédito;POS;325,38;2,00%;5,33;18/04/2026;313,54
11/04/2026;Matriz;Elo;PIX;TEF;95,03;0,30%;8,20;24/04/2026;86,54
11/04/2026;Filial 1;Amex;Voucher;Online;731,16;7,00%;12,24;19/04/2026;667,74
11/04/2026;Matriz;Mastercard;Débito;POS;683,32;0,75%;3,93;05/05/2026;674,27
12/04/2026;Matriz;PIX;Débito;Online;896,42;0,75%;6,12;15/04/2026;883,58
12/04/2026;Filial 1;Visa;Crédito;POS;514,58;2,00%;9,95;17/04/2026;494,34
12/04/2026;Matriz;Elo;PIX;TEF;821,86;0,30%;3,15;25/04/2026;816,24
12/04/2026;Filial 1;Amex;Voucher;Online;985,41;7,00%;2,36;16/04/2026;914,07
12/04/2026;Matriz;Mastercard;Débito;POS;282,17;0,75%;5,64;04/04/2026;274,41
13/04/2026;Matriz;PIX;Débito;Online;212,88;0,75%;7,47;09/04/2026;203,81
13/04/2026;Filial 1;Visa;Crédito;POS;160,25;2,00%;9,00;09/04/2026;148,05
13/04/2026;Matriz;Elo;PIX;TEF;862,93;0,30%;10,13;28/04/2026;850,21
13/04/2026;Filial 1;Amex;Voucher;Online;775,11;7,00%;3,10;05/04/2026;717,75
13/04/2026;Matriz;Mastercard;Débito;POS;721,34;0,75%;3,48;30/04/2026;712,45
14/04/2026;Matriz;PIX;Débito;Online;23,51;0,75%;3,99;16/04/2026;19,34
14/04/2026;Filial 1;Visa;Crédito;POS;36,50;2,00%;5,15;26/04/2026;30,62
14/04/2026;Matriz;Elo;PIX;TEF;377,38;0,30%;1,03;17/04/2026;375,22
14/04/2026;Filial 1;Amex;Voucher;Online;133,59;7,00%;9,18;03/05/2026;115,06
14/04/2026;Matriz;Mastercard;Débito;POS;381,71;0,75%;10,29;02/04/2026;368,56
15/04/2026;Matriz;PIX;Débito;Online;748,40;0,75%;2,87;23/04/2026;739,92
15/04/2026;Filial 1;Visa;Crédito;POS;926,30;2,00%;8,18;09/04/2026;899,59
15/04/2026;Matriz;Elo;PIX;TEF;118,64;0,30%;11,77;01/05/2026;106,51
15/04/2026;Filial 1;Amex;Voucher;Online;333,62;7,00%;15,12;03/04/2026;295,15
15/04/2026;Matriz;Mastercard;Débito;POS;871,81;0,75%;3,34;02/05/2026;861,93
16/04/2026;Matriz;PIX;Débito;Online;568,63;0,75%;4,25;04/05/2026;560,12
16/04/2026;Filial 1;Visa;Crédito;POS;131,60;2,00%;10,07;16/04/2026;118,90
16/04/2026;Matriz;Elo;PIX;TEF;841,49;0,30%;5,65;02/05/2026;833,32
16/04/2026;Filial 1;Amex;Voucher;Online;461,38;7,00%;5,09;07/05/2026;423,99
16/04/2026;Matriz;Mastercard;Débito;POS;783,13;0,75%;1,78;30/04/2026;775,48
17/04/2026;Matriz;PIX;Débito;Online;36,13;0,75%;8,48;05/05/2026;27,38
17/04/2026;Filial 1;Visa;Crédito;POS;265,68;2,00%;22,40;24/04/2026;237,97
17/04/2026;Matriz;Elo;PIX;TEF;657,62;0,30%;13,60;09/05/2026;642,05
17/04/2026;Filial 1;Amex;Voucher;Online;185,56;7,00%;7,23;07/05/2026;165,34
17/04/2026;Matriz;Mastercard;Débito;POS;429,45;0,75%;7,32;07/04/2026;418,91
18/04/2026;Matriz;PIX;Débito;Online;298,33;0,75%;12,63;10/05/2026;283,46
18/04/2026;Filial 1;Visa;Crédito;POS;392,21;2,00%;10,24;16/05/2026;374,13
18/04/2026;Matriz;Elo;PIX;TEF;359,68;0,30%;7,74;06/04/2026;350,86
18/04/2026;Filial 1;Amex;Voucher;Online;948,91;7,00%;8,89;17/05/2026;873,60
18/04/2026;Matriz;Mastercard;Débito;POS;261,28;0,75%;5,40;23/04/2026;253,92
19/04/2026;Matriz;PIX;Débito;Online;940,12;0,75%;3,56;08/04/2026;929,51
19/04/2026;Filial 1;Visa;Crédito;POS;88,33;2,00%;7,44;23/04/2026;79,12
19/04/2026;Matriz;Elo;PIX;TEF;246,65;0,30%;19,83;26/04/2026;226,08
19/04/2026;Filial 1;Amex;Voucher;Online;857,85;7,00%;9,63;04/04/2026;788,17
19/04/2026;Matriz;Mastercard;Débito;POS;138,47;0,75%;0,42;04/05/2026;137,01
20/04/2026;Matriz;PIX;Débito;Online;623,66;0,75%;5,06;17/04/2026;613,92
20/04/2026;Filial 1;Visa;Crédito;POS;117,53;2,00%;9,58;13/05/2026;105,60
20/04/2026;Matriz;Elo;PIX;TEF;999,17;0,30%;8,39;10/04/2026;987,78
20/04/2026;Filial 1;Amex;Voucher;Online;992,26;7,00%;6,78;14/04/2026;916,02
20/04/2026;Matriz;Mastercard;Débito;POS;901,55;0,75%;8,52;14/05/2026;886,27
21/04/2026;Matriz;PIX;Débito;Online;553,73;0,75%;1,71;08/05/2026;547,87
21/04/2026;Filial 1;Visa;Crédito;POS;776,15;2,00%;12,70;23/04/2026;747,93
21/04/2026;Matriz;Elo;PIX;TEF;161,68;0,30%;5,97;22/04/2026;155,22
21/04/2026;Filial 1;Amex;Voucher;Online;136,00;7,00%;2,96;27/04/2026;123,52
21/04/2026;Matriz;Mastercard;Débito;POS;688,67;0,75%;12,66;13/05/2026;670,84
22/04/2026;Matriz;PIX;Débito;Online;224,96;0,75%;7,19;09/04/2026;216,08
22/04/2026;Filial 1;Visa;Crédito;POS;56,33;2,00%;13,57;02/05/2026;41,63
22/04/2026;Matriz;Elo;PIX;TEF;491,08;0,30%;2,46;08/04/2026;487,15
22/04/2026;Filial 1;Amex;Voucher;Online;611,86;7,00%;9,92;01/05/2026;559,11
22/04/2026;Matriz;Mastercard;Débito;POS;299,46;0,75%;14,82;18/05/2026;282,39
23/04/2026;Matriz;PIX;Débito;Online;16,90;0,75%;11,40;19/04/2026;5,37
23/04/2026;Filial 1;Visa;Crédito;POS;653,65;2,00%;17,87;01/05/2026;622,71
23/04/2026;Matriz;Elo;PIX;TEF;185,87;0,30%;10,93;14/05/2026;174,38
23/04/2026;Filial 1;Amex;Voucher;Online;116,89;7,00%;6,95;01/04/2026;101,76
23/04/2026;Matriz;Mastercard;Débito;POS;976,28;0,75%;14,73;25/05/2026;954,23
24/04/2026;Matriz;PIX;Débito;Online;38,54;0,75%;2,33;01/05/2026;35,92
24/04/2026;Filial 1;Visa;Crédito;POS;406,52;2,00%;10,77;12/05/2026;387,62
24/04/2026;Matriz;Elo;PIX;TEF;504,12;0,30%;7,10;06/04/2026;495,51
24/04/2026;Filial 1;Amex;Voucher;Online;127,86;7,00%;5,86;22/04/2026;113,05
